iter	Logloss
0	0.6832206714
1	0.6734136077
2	0.6661759671
3	0.6554243761
4	0.6456801117
5	0.6358705482
6	0.6288331559
7	0.6196736827
8	0.6116497969
9	0.603969974
10	0.5947843726
11	0.5873511978
12	0.5808319796
13	0.5726652962
14	0.564325734
15	0.5571706528
16	0.5501340273
17	0.5425340681
18	0.5347344518
19	0.5281880306
20	0.5210392954
21	0.5133127879
22	0.5068641162
23	0.5004470806
24	0.493389417
25	0.4876042198
26	0.4819530668
27	0.4753077263
28	0.469100749
29	0.4634106807
30	0.4572972224
31	0.4512346294
32	0.446751041
33	0.4417834242
34	0.4375520745
35	0.4327830199
36	0.4278552154
37	0.4229844751
38	0.4182348889
39	0.4139000908
40	0.4091589303
41	0.4043700542
42	0.4001310635
43	0.3953365782
44	0.3908998893
45	0.388355539
46	0.385420954
47	0.3823434635
48	0.3784338271
49	0.3746868196
50	0.3711457131
51	0.3677541797
52	0.3641757844
53	0.3605761525
54	0.3578662836
55	0.3549970367
56	0.3521295149
57	0.3496549695
58	0.3470019469
59	0.3437361583
60	0.3404167469
61	0.3367494967
62	0.3334056157
63	0.3302828424
64	0.3278420164
65	0.3250382238
66	0.3223078909
67	0.3191830892
68	0.3164781288
69	0.3138251988
70	0.3119666338
71	0.3088091201
72	0.3072002655
73	0.3052672935
74	0.3026694852
75	0.2999562677
76	0.2976103315
77	0.2956501997
78	0.2940913488
79	0.2919881568
80	0.290106947
81	0.2886635551
82	0.2865375857
83	0.2848222025
84	0.2826673114
85	0.2806252199
86	0.2786307558
87	0.276794682
88	0.2747154264
89	0.27276324
90	0.2710990112
91	0.2691569979
92	0.2673046276
93	0.2663914085
94	0.2641086497
95	0.2622373955
96	0.2605724704
97	0.2588662576
98	0.2572634023
99	0.2558729544
100	0.2545496094
101	0.2528834158
102	0.2513617885
103	0.2499052519
104	0.2480795457
105	0.246304078
106	0.2448822513
107	0.2428382349
108	0.2413132325
109	0.2393996607
110	0.2380455403
111	0.2366439929
112	0.2348391369
113	0.2335127088
114	0.2320693081
115	0.2305528174
116	0.2292734984
117	0.2280452983
118	0.2276442162
119	0.2263467276
120	0.2247874757
121	0.2232711887
122	0.2218465653
123	0.2207173777
124	0.2191682029
125	0.2179541122
126	0.2168414426
127	0.2156002058
128	0.2146063382
129	0.2133669096
130	0.2117981939
131	0.2106993616
132	0.2096830609
133	0.2086925757
134	0.2076972045
135	0.2067929582
136	0.2059995404
137	0.2050412595
138	0.203894496
139	0.2030711263
140	0.2021134692
141	0.2013154329
142	0.2000891575
143	0.1993801153
144	0.1984340492
145	0.1976095038
146	0.1962216278
147	0.1953283771
148	0.1942651054
149	0.1931780346
150	0.1922054868
151	0.1913982746
152	0.1901485872
153	0.1894137047
154	0.1883625858
155	0.187534231
156	0.1868290924
157	0.1856377679
158	0.1846064314
159	0.1841050908
160	0.1833691172
161	0.1827242643
162	0.1820309795
163	0.1813107734
164	0.1804666749
165	0.1798101722
166	0.1792853577
167	0.1784651619
168	0.1777594851
169	0.1772541499
170	0.1764559088
171	0.1756258499
172	0.1750380396
173	0.1745010741
174	0.1742421832
175	0.1736566137
176	0.1730209207
177	0.1722600465
178	0.1714449536
179	0.1708766156
180	0.1698634121
181	0.1694297596
182	0.1685449204
183	0.1676613826
184	0.1671850208
185	0.1667488937
186	0.1661644126
187	0.1656717821
188	0.1650592709
189	0.1644045102
190	0.1637450649
191	0.16329182
192	0.1629310059
193	0.1624456821
194	0.1616621567
195	0.1609008198
196	0.1602155226
197	0.1595975239
198	0.1590595916
199	0.1583730491
200	0.1580746009
201	0.1575408617
202	0.157440756
203	0.156465678
204	0.1555185288
205	0.1550821319
206	0.1542711215
207	0.153473603
208	0.1528349606
209	0.1521700773
210	0.1516734098
211	0.1511624933
212	0.1507479727
213	0.1502389667
214	0.1496210531
215	0.1489385488
216	0.1484761289
217	0.1480549635
218	0.1475563302
219	0.1469791034
220	0.1465967851
221	0.1460044369
222	0.1453826678
223	0.1449704884
224	0.1445104048
225	0.1439884316
226	0.1434736715
227	0.142684993
228	0.1424269074
229	0.1417579426
230	0.1413488998
231	0.1407359925
232	0.1403366229
233	0.1399035646
234	0.1395266484
235	0.1388689925
236	0.1384621547
237	0.1381490904
238	0.1378069311
239	0.1373351557
240	0.1368483234
241	0.1363743382
242	0.135754258
243	0.1352747565
244	0.1348824719
245	0.1343684381
246	0.1339343472
247	0.1336580829
248	0.1333459917
249	0.1328758482
250	0.1325831603
251	0.1321184291
252	0.1317680533
253	0.1314458212
254	0.1309605951
255	0.1308352717
256	0.1303357339
257	0.1298621404
258	0.129411335
259	0.1289580468
260	0.1286987821
261	0.1280842101
262	0.1275422092
263	0.1271744951
264	0.1267346093
265	0.1262865899
266	0.1257019883
267	0.1253188107
268	0.1250480269
269	0.1246816287
270	0.12442617
271	0.1240869242
272	0.1236641372
273	0.1234613682
274	0.12314462
275	0.1228234444
276	0.1224732022
277	0.122170645
278	0.1216920257
279	0.1214148272
280	0.1210029768
281	0.1206853238
