iter	Logloss
0	0.6480962462
1	0.6122925322
2	0.5850503566
3	0.5470198938
4	0.5245392686
5	0.5047849881
6	0.4812722933
7	0.4595794354
8	0.4377170498
9	0.4208262169
10	0.3999610513
11	0.3848125005
12	0.3669520233
13	0.3526953358
14	0.3400133101
15	0.3264406495
16	0.3151374429
17	0.306864496
18	0.2963512873
19	0.2874918146
20	0.280208329
21	0.2711872165
22	0.2614019685
23	0.2548265457
24	0.2451358407
25	0.2409581815
26	0.2348593857
27	0.2295852112
28	0.2243219796
29	0.2171742391
30	0.2115216013
31	0.2055498867
32	0.2019931502
33	0.1986029835
34	0.1933689279
35	0.1899576995
36	0.1848747447
37	0.1807657016
38	0.1753943492
39	0.1732450905
40	0.1705545975
41	0.1676104917
42	0.1635872631
43	0.1611032001
44	0.1563390635
45	0.1538287341
46	0.1515997224
47	0.1489075968
48	0.1456092253
49	0.1446598182
50	0.1430326559
51	0.1414566202
52	0.1400141958
53	0.1374524003
54	0.1348526842
55	0.1338476731
56	0.1316059969
57	0.1299143242
58	0.1280320539
59	0.1262362367
60	0.1245629909
61	0.1223111233
62	0.1204503674
63	0.1192992016
64	0.1178076469
65	0.1155929
66	0.1140030764
67	0.1125936508
68	0.1112931219
69	0.1107176118
70	0.1085867478
71	0.1070831509
72	0.1056160361
73	0.1035704694
74	0.1023356066
75	0.1009421591
76	0.100089057
77	0.09920912274
78	0.09815110999
79	0.09701762765
80	0.09623370736
81	0.09495793359
82	0.09420785257
83	0.09330222566
84	0.09222971383
85	0.09132314941
86	0.09039402008
87	0.08863961495
88	0.08810547651
89	0.08744607537
90	0.08588015023
91	0.08509374877
92	0.08397353706
93	0.08288250939
94	0.081916308
95	0.08133546377
96	0.08035971755
97	0.07923976446
98	0.0787592904
99	0.07822905557
100	0.0774629803
101	0.07665014267
102	0.07580141294
103	0.07550161168
104	0.0749550189
105	0.07389477552
106	0.07335166608
107	0.07250810074
108	0.07189943023
109	0.07132939161
110	0.0705518965
111	0.06975348521
112	0.06931954723
113	0.06880069183
114	0.06802549201
115	0.06737205134
116	0.06648705369
117	0.06608424348
118	0.06552615004
119	0.06527373346
120	0.06456567473
121	0.06409295131
122	0.06323821666
123	0.0627239195
124	0.06203954503
125	0.0614310604
126	0.06094474308
127	0.06042604931
128	0.06001356093
129	0.05932879044
130	0.05885956651
131	0.05844249564
132	0.05797142498
133	0.05749493534
134	0.05675992723
135	0.05606291658
136	0.05534040322
137	0.05502421977
138	0.05447424872
139	0.05398778996
140	0.05336877855
141	0.05307151503
142	0.05270592641
143	0.05212810888
144	0.05200296337
145	0.05143252066
146	0.05105037204
147	0.05053403014
148	0.05026393018
149	0.04995599035
150	0.04950885045
151	0.04885776972
152	0.04850758132
153	0.04835068977
154	0.0478341539
155	0.04746274625
156	0.04723177118
157	0.0467531479
158	0.04611590757
159	0.04572698221
160	0.04541918383
161	0.04528421871
162	0.04478791609
163	0.04454733154
164	0.04426886672
165	0.04415008577
166	0.04401468018
167	0.04380867441
168	0.04350215702
169	0.04302725145
170	0.0427484674
171	0.04252750995
172	0.04211304956
173	0.04188510523
174	0.04158735275
175	0.04111651243
176	0.04071565806
177	0.04054420277
178	0.04028309806
179	0.03992617736
180	0.0395998874
181	0.03936600281
182	0.03910261494
183	0.03843187478
184	0.03818394774
185	0.03795498913
186	0.03765475548
187	0.03735834865
188	0.03726553513
189	0.03716767036
190	0.03695045891
191	0.03672609895
192	0.03666326151
193	0.03634759935
194	0.03571571334
195	0.03551294844
196	0.03532547062
197	0.03513960919
198	0.03483802181
199	0.03446893369
